                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    138,                0.78456,                0.71539,                 1.1645,                0.87825,                0.83217,                0.92662,                0.77786,                0.65267,                0.55151,                 1.0657,              0.0001916,              0.0001916,              0.0001916
                    139,                0.80537,                0.72198,                 1.1735,                0.87342,                0.86852,                 0.9349,                0.78987,                0.64005,                 0.5513,                 1.0624,              0.0001784,              0.0001784,              0.0001784
                    140,                0.77073,                0.69986,                 1.1635,                0.88074,                0.82631,                0.92389,                0.78524,                0.64819,                0.55844,                 1.0656,              0.0001652,              0.0001652,              0.0001652
                    141,                0.61577,                0.52556,                 1.0227,                0.87572,                0.82517,                0.91663,                0.77902,                0.65861,                0.57258,                 1.0868,               0.000152,               0.000152,               0.000152
                    142,                0.60668,                0.48616,                  1.005,                0.90607,                 0.8042,                0.92306,                0.77762,                0.64416,                0.57092,                 1.0801,              0.0001388,              0.0001388,              0.0001388
                    143,                0.58521,                0.46821,                 1.0095,                0.84661,                0.85315,                0.92095,                 0.7775,                0.64895,                0.56857,                 1.0791,              0.0001256,              0.0001256,              0.0001256
                    144,                0.58873,                0.45722,                 1.0021,                0.84064,                0.84844,                0.91824,                0.77955,                0.64573,                0.57664,                 1.0764,              0.0001124,              0.0001124,              0.0001124
                    145,                 0.5861,                0.46577,                 1.0038,                 0.8909,                 0.7995,                0.92817,                0.78369,                0.63764,                0.55781,                 1.0743,               9.92e-05,               9.92e-05,               9.92e-05
                    146,                0.56542,                0.44857,                0.98047,                0.90766,                0.82487,                 0.9263,                0.78598,                0.62866,                0.54758,                 1.0731,                8.6e-05,                8.6e-05,                8.6e-05
                    147,                0.57548,                0.45173,                  1.001,                0.84559,                0.87413,                0.92736,                0.78145,                0.63227,                0.54639,                 1.0763,               7.28e-05,               7.28e-05,               7.28e-05
                    148,                0.57069,                0.44573,                0.98586,                0.90535,                0.81818,                0.92553,                0.78339,                0.63656,                0.54494,                 1.0867,               5.96e-05,               5.96e-05,               5.96e-05
                    149,                0.56984,                0.45177,                0.98379,                0.89961,                0.82517,                0.92685,                0.78545,                0.62674,                0.54667,                 1.0767,               4.64e-05,               4.64e-05,               4.64e-05
